Project	revision count	project author count	class author count	loc	cbo	dit	lcom	noc	wmc	rfc
2ndaid06	1	1	1	5.5	0.5	1.25	29	0	4.75	4.75
51os	1.794509151	2	1.005823627	9.429284526	7.674708819	4.121464226	42.640599	1.027454243	6.77703827	31.31031614
aetheria	3.158730159	1	1	15.13333333	4.492063492	1.504761905	44.23492063	0.266666667	12.85396825	20.53333333
agileet	5.194444444	2	1.527777778	7.777777778	3.583333333	1.694444444	42.13888889	0.027777778	7.638888889	7.638888889
agreementdsl	1.1125	1	1	7.075	3.575	1.8	43.475	0.2375	8.5875	9.775
agrobot-uepg	2.047619048	2	1.095238095	15.45238095	2.142857143	1.5	49.66666667	0.071428571	5.19047619	5.333333333
ahy	2.479166667	1	1	12.33333333	2.166666667	1.416666667	63.9375	0.166666667	7.0625	9.75
aikaoshi	2	1	1	6.5	0	1	0	0	1	1
aionjfree	1.338582677	4	1.016105941	15.68432355	8.235504653	2.153543307	30.45168218	0.806012885	4.976020043	35.61775233
alexpucara	1.333333333	1	1	4	0.5	1.333333333	14	0	9.666666667	9.666666667
algorithmes-graphe	8.111111111	2	1.777777778	10.22222222	2.222222222	1.222222222	29.88888889	0.222222222	6.888888889	8
algosencillo	1	1	1	8.32	2.12	1.2	36.24	0.08	5.56	5.64
algoworld	2.884353741	1	1	8.761904762	3.884353741	1.537414966	37.53741497	0.292517007	3.43537415	5.455782313
alloy4eclipse	5.385	12	1.9	9.685	5.555	1.86	48.35	0.16	13.875	15.18
almoxarifadobdav	1	1	1	12.13043478	2.869565217	1.347826087	29.65217391	0.260869565	5.826086957	7.391304348
alocadormap	1	1	1	8.32	2.88	1.16	60.56	0	9.68	9.68
amazonas	2.909090909	1	1	7.636363636	2.590909091	1.727272727	67.25	0.227272727	10.15909091	15.43181818
ambiance	2.94	1	1	13.56	1.42	1.77	38.14	0.16	3.78	4.77
analizadorlexico	2	1	1	27.5	1.875	1.625	17.5	0.5	3.625	4.125
andro-enit	1	1	1	4	2	2	0	0	1	1
android-fraud-detection-and-display-system-ftse-100	2.386363636	3	1.181818182	14.5	2.25	1.545454545	40.79545455	0.340909091	6.954545455	9.5
android-in-practice	3.042553191	5	1.014184397	10.14893617	1.609929078	1.737588652	36.94326241	0.085106383	3.957446809	4.34751773
anhquan	1.104499274	1	1	9.297532656	5.995645864	2.323657475	49.61538462	0.52394775	10.05370102	28.0203193
anothervitaminc	1	1	1	3	0.5	1.5	0	0	1	1
anysuites	1.175115207	1	1	6.824884793	2.092165899	2.267281106	28.35483871	0.460829493	4.359447005	8.834101382
apiitfriends	1.548387097	1	1	9.290322581	2.225806452	1.548387097	50.35483871	0.483870968	5.612903226	6.741935484
apontamentodehoras	1.2	1	1	7.2	0.8	1.2	44.2	0	4.6	4.6
appcfgwrapper	2.545454545	1	1	20.81818182	2.454545455	1.454545455	35.36363636	0.090909091	6.090909091	6.545454545
appengine-catfish	1.048780488	1	1	9.707317073	3.56097561	1.585365854	42.19512195	0.317073171	7.536585366	8.756097561
appengine-data	3.5	1	1	6.7	1.1	1.6	59	0.2	6.6	7.1
arclib	2.541666667	1	1	21.98958333	3.75	1.302083333	52.92708333	0.239583333	9.09375	11.53125
arduino-freenas	1.05	1	1	9.15	1.35	1.4	39.9	0.4	5.8	8
arkmodel2d	5.911111111	2	1.644444444	5.444444444	3.777777778	1.577777778	42.97777778	0.488888889	7.666666667	11.64444444
as3toxmi	1.09375	1	1	12.25	2.6875	1.375	37.15625	0.1875	10.21875	13.6875
ascrblr	2.5625	2	1.458333333	9.1875	3.8125	1.6875	46.4375	1.583333333	6.520833333	8.520833333
ashevillejam2011	1.002487562	1	1	10.10199005	4.621890547	2.614427861	42.13681592	0.741293532	8.78358209	42.94029851
a-simple-lastfm-scrobbler	7.183333333	1	1	12.03333333	3.766666667	2.1	61.26666667	0.3	7.883333333	10.73333333
asyncorg	5.42	1	1	7.24	2.18	2.04	49.88	0.5	8.22	25.56
aurorasdk	1	1	1	11.95	1.8	1.675	50.025	0.1	5.8	6.7
autolib-java-client	1	1	1	23.11764706	3.294117647	1.235294118	38.88235294	0.176470588	12.41176471	15.23529412
autowebframe	1.594594595	1	1	10.16216216	1.378378378	1.351351351	62.59459459	0.054054054	13.10810811	14.21621622
avenzano-incubator	1.2	1	1	5.6	0	1.2	20	0	1.4	1.4
aviator	2.443396226	1	1	10.8254717	4.419811321	1.490566038	30.02830189	0.372641509	8.924528302	13.58490566
azw	2.157894737	1	1	6.736842105	2.473684211	1.236842105	44.63157895	0.210526316	7.078947368	9.815789474
bajos	1.061538462	2	1.030769231	16.53846154	3.415384615	1.261538462	35.92307692	1.261538462	7.246153846	19.95384615
banco-corba-exemplo	1	1	1	8.793103448	3.551724138	1.344827586	65.72413793	0.068965517	5.586206897	5.862068966
barbershop	4.417910448	1	1	6.23880597	2.76119403	2.089552239	49.04477612	0.507462687	8.776119403	11.50746269
barriossazo-algoritmos-estructuras-de-datos	1.967741935	1	1	10.41935484	1.129032258	1.483870968	14.90322581	0.161290323	6.516129032	7.419354839
batalhanaval	12.13636364	4	2.090909091	12.45454545	1.772727273	1.681818182	67.22727273	0	11.22727273	11.22727273
beans-board	2.4	2	1.6	7.8	1.6	1.4	66.4	1.4	7.8	12.6
beanshell2	1.95862069	5	1.15862069	12.53793103	4.682758621	1.544827586	41.88965517	0.379310345	8.634482759	15.06206897
benches	2.333333333	1	1	12.22222222	0.777777778	1.333333333	42.44444444	0	2.888888889	2.888888889
berkelium-java	3.444444444	2	1.296296296	7.740740741	2.740740741	1.407407407	52.2962963	0.592592593	8.296296296	11.11111111
betdaq-api	1	1	1	6.307692308	2	1.076923077	58.23076923	0	14.84615385	14.84615385
bgg-android-tools	2.891304348	1	1	10.84782609	2.673913043	1.739130435	51.47826087	0.043478261	8.239130435	8.586956522
bgjavajmfaudiortp	1.166666667	1	1	11.75	1.416666667	1	52.33333333	0	6.916666667	6.916666667
bhf	7.363636364	2	1.363636364	9.818181818	2.181818182	1.545454545	58.54545455	0	7.636363636	7.636363636
bhj	1.117647059	1	1	10.64705882	2.823529412	1.529411765	35.26470588	0	6.911764706	6.911764706
biffbamblammogame	5.166666667	1	1	15	2.944444444	1.833333333	72.5	0	11.5	11.5
bigcache	1.956521739	1	1	5.391304348	1.52173913	1.260869565	30.04347826	0.130434783	4.652173913	5.695652174
birpn	2.306666667	2	1.76	4.173333333	1.32	4.2	6.506666667	0.906666667	3.76	16.94666667
birthdayplus	13.52380952	4	1.793650794	9.888888889	3.793650794	1.396825397	57.04761905	0.031746032	9.952380952	10.38095238
bjw	1	1	1	4.5	2.125	1.5	25.5	0	6	6
