project	class name	class author count	project author count	revision count	loc	cbo	dit	lcom	noc	rfc	wmc
catnip	JuliLog	1	1	2	3	0	1	0	0	20	20
catnip	HmeContext	1	1	4	5	0	1	83	0	16	16
catnip	AccessibleHttp11ConnectionHandler	1	1	1	3	0	2	0	1	3	3
catnip	AccessibleHttp11Processor	1	1	2	3	0	2	0	1	2	2
catnip	LegacyAccessibleHttp11Processor	1	1	1	3	0	2	0	1	2	2
catnip	CommonsLog	1	1	2	3	0	1	0	0	20	20
catnip	LegacyAccessibleHttp11Protocol	1	1	1	5	1	2	100	1	2	2
catnip	HmeHttpRequest	1	1	3	3	0	1	60	0	11	11
catnip	ArgumentList	1	1	4	11	0	1	33	0	12	12
catnip	LogFactory	1	1	2	4	3	1	75	0	2	2
alexpucara	PucaraDaoImpl	1	1	1	2	1	1	0	0	13	13
alexpucara	PucaraEntidadManagerImpl	1	1	2	7	1	1	0	0	19	19
alexpucara	PucaraEntidadManagerLocalImpl	1	1	2	4	1	1	84	0	19	19
alexpucara	PucaraSystemException	1	1	1	3	0	2	0	0	3	3
jfreeciv	Unit_H	1	1	2	4	1	1	100	0	1	1
jfreeciv	Shared_H	1	1	5	5	0	1	100	0	3	3
jfreeciv	Improvement	1	1	8	6	3	1	90	0	7	7
jfreeciv	Effects	1	1	9	13	2	1	0	0	2	2
jfreeciv	Autoattack	1	1	8	44	30	1	0	0	5	5
jfreeciv	packet_spaceship_info	1	1	1	6	2	1	100	0	1	1
jfreeciv	Auth	1	1	8	40	12	1	92	0	9	9
jfreeciv	Airgoto	1	1	4	16	19	1	86	0	11	11
jfreeciv	Speclists	1	1	2	2	1	1	22	0	9	9
jfreeciv	Terrain	1	1	6	8	4	1	0	0	3	3
jfreeciv	Cityhand	1	1	8	22	28	1	0	0	14	14
jfreeciv	packet_authentication_req	1	1	1	25	5	1	75	0	4	4
jfreeciv	Unithand	1	1	10	101	3	1	0	0	2	2
jfreeciv	packet_city_info	1	1	1	4	4	1	100	0	2	2
jfreeciv	Point	1	1	1	5	0	1	0	0	1	1
jfreeciv	packet_city_incite_info	1	1	1	10	1	1	0	0	1	1
jfreeciv	Gamehand	1	1	10	55	1	1	0	0	1	1
jfreeciv	Md5	1	1	3	12	0	1	75	0	1	1
jfreeciv	Nation	1	1	7	8	2	1	0	0	5	5
jfreeciv	Erfc_status	1	1	1	1	0	2	97	0	4	4
jfreeciv	unit	1	1	6	12	8	1	98	0	4	4
jfreeciv	Unittype_P	1	1	4	5	5	1	88	0	9	9
jfreeciv	Government	1	1	6	6	7	1	66	0	6	6
jfreeciv	Map_H	1	1	2	7	5	1	99	0	6	6
jfreeciv	worklist	1	1	1	1	1	1	100	0	1	1
jfreeciv	Gotohand	1	1	9	88	7	1	0	0	3	3
jfreeciv	Handchat	1	1	7	37	11	1	85	0	7	7
jfreeciv	Maphand	1	1	10	12	9	1	0	0	21	21
jfreeciv	Version	1	1	3	15	0	1	75	0	4	4
jfreeciv	Barbarian	1	1	10	36	38	1	90	0	10	10
jfreeciv	City	1	1	8	14	18	1	99	0	35	35
jfreeciv	util	1	1	5	3	1	1	0	0	8	8
jfreeciv	civ_map	1	1	5	4	2	1	90	0	1	1
jfreeciv	Console	1	1	2	7	4	1	81	0	15	15
jfreeciv	packet_city_remove	1	1	1	8	1	1	0	0	1	1
jfreeciv	Fciconv	1	1	5	75	0	1	50	0	1	1
jfreeciv	sship_part_info	1	1	1	6	0	1	0	0	1	1
jfreeciv	packet_city_name_suggestion_info	1	1	1	9	1	1	100	0	1	1
jfreeciv	Idex	1	1	6	8	2	1	0	0	3	3
jfreeciv	Spaceship	1	1	4	8	2	1	100	0	1	1
jfreeciv	Connecthand	1	1	8	66	3	1	0	0	2	2
jfreeciv	Aitools	1	1	10	31	3	1	0	0	1	1
jfreeciv	Map	1	1	7	9	9	1	88	0	18	18
jfreeciv	Connection	1	1	10	13	8	1	98	0	6	6
jfreeciv	Log	1	1	6	14	1	1	100	0	2	2
jfreeciv	Gamelog	1	1	9	420	1	1	0	0	1	1
jfreeciv	Cityturn	1	1	10	36	9	1	0	0	9	9
jfreeciv	city	1	1	5	6	9	1	100	0	1	1
jfreeciv	Unittools	1	1	10	26	9	1	0	0	10	10
jfreeciv	Aiunit	1	1	10	19	2	1	0	0	1	1
jfreeciv	Sanitycheck	1	1	10	53	1	1	0	0	2	2
jfreeciv	Sernet	1	1	10	63	0	1	0	0	1	1
jfreeciv	packet_city_short_info	1	1	1	6	1	1	100	0	1	1
jfreeciv	Unit	1	1	9	7	11	1	0	0	11	11
jfreeciv	Combat	1	1	9	29	7	1	0	0	5	5
jfreeciv	Rand	1	1	6	48	0	1	0	0	1	1
jfreeciv	Terrain_H	1	1	4	3	4	1	100	0	2	2
jfreeciv	Commands	1	1	4	3	1	1	14	0	1	1
jfreeciv	player_spaceship	1	1	1	11	1	1	50	0	2	2
jfreeciv	Srv_main	1	1	10	30	7	1	90	0	6	6
jfreeciv	Shared	1	1	7	54	1	1	0	0	2	2
jfreeciv	Citytools	1	1	10	33	70	1	99	0	54	54
jfreeciv	Spacerace	1	1	7	51	21	1	0	0	6	6
jfreeciv	player	1	1	8	9	8	1	96	0	1	1
jfreeciv	Option	1	1	4	77	0	1	100	0	1	1
jfreeciv	Player_P	1	1	8	9	15	1	0	0	15	15
jfreeciv	Stdinhand	1	1	10	7	2	1	100	0	1	1
jfreeciv	Plrhand	1	1	10	24	14	1	0	0	14	14
jfreeciv	Pqueue	1	1	2	17	0	1	0	0	5	5
jfreeciv	Game	1	1	9	7	6	1	60	0	5	5
jfreeciv	specialist_type	1	1	1	1	0	2	100	0	3	3
jfreeciv	Civserver	1	1	5	39	6	1	50	0	2	2
copie	SubServer	1	1	1	4	7	1	94	0	38	38
copie	EndClientThreadException	1	1	1	3	0	2	0	0	1	1
copie	FileInfo	1	1	1	4	0	1	70	0	8	8
copie	ClientThread	1	1	1	26	3	2	25	0	2	2
copie	Message	1	1	1	3	0	1	81	0	10	10
copie	TransferableList	1	1	1	3	0	1	50	0	4	4
copie	Client	1	1	1	12	5	1	84	0	13	13
copie	FileFilter	1	1	1	5	0	2	0	0	3	3
copie	SubServerInfo	1	1	1	3	0	1	86	0	15	15
copie	Translations	1	1	1	3	0	1	0	0	2	2
copie	MainServerWindow	1	1	2	16	3	2	88	0	14	14
copie	SubServerProtocol	1	1	1	25	5	1	57	0	7	7
copie	MainServerThread	1	1	1	36	5	2	30	0	2	2
copie	ClientListener	1	1	1	18	3	2	50	0	3	3
copie	ClientWindow	1	1	1	14	2	2	90	0	23	23
copie	MainServerProtocol	1	1	2	18	4	1	0	0	3	3
copie	SubServerWindow	1	1	1	17	1	2	89	0	17	17
copie	MainServerListener	1	1	1	34	4	2	37	0	2	2
copie	SubServerOnDemandThread	1	1	1	26	3	2	25	0	2	2
copie	MainServer	1	1	2	4	5	1	87	0	20	20
lesscss4j	LessSourceTest	1	1	6	10	1	1	48	0	6	6
lesscss4j	BootstrapIT	1	1	7	3	1	2	0	0	9	5
lesscss4j	ImportIT	1	1	2	3	0	2	0	0	5	1
lesscss4j	LessCompilerTest	1	1	17	20	3	1	66	0	25	25
lesscss4j	LessCompiler	1	1	28	6	2	1	87	0	20	20
lesscss4j	CompatibilityIT	1	1	12	3	0	2	0	0	32	28
lesscss4j	LessSource	1	1	15	6	0	1	67	0	8	8
lesscss4j	LessException	1	1	5	3	0	2	0	0	2	2
lesscss4j	AbstractCompileIT	1	1	7	4	2	1	50	4	4	4
fatsatsuma-email	VelocityContext	1	1	1	3	0	1	57	0	7	7
fatsatsuma-email	WebRequestFailedException	1	1	1	3	0	2	100	0	1	1
fatsatsuma-email	VelocityTemplateHandler	1	1	1	21	6	2	40	0	8	5
fatsatsuma-email	Email	1	1	2	6	4	1	92	0	45	45
fatsatsuma-email	NoSuchTemplateException	1	1	1	3	0	2	100	0	1	1
