Project Name	LOC	Project Revision Count	CBO	DIT	LCOM	NOC	RFC	WMC	Project Author Count	Defect Tickets	Functional Tickets	Commits
precise	526	28197	6.13	1.9	48.59	0.41	12.02	7.89	5	0	0	526
chakra-buana	23	28	0	1	0	0	1	1	4	0	0	28
java-byte-code-example	184	5	1.2	1.4	0	0	1.7	1.7	1	0	0	5
libamico	54	103	0	1	0	0	4.5	4.5	2	0	0	103
aikaoshi	18	5	0	1	0	0	1	1	1	0	0	5
andro-enit	24	2	0.33	1.17	0	0	0.17	0.17	1	0	0	2
anothervitaminc	13	6	0.5	1.5	0	0	1	1	1	0	0	3
buildbox-try	34	2	0.5	1.5	0	0	1	1	1	0	0	2
clojure-server-pages	58	15	0	2	0	0	2	2	1	0	0	15
commons-web	89	2	0.5	1.25	0	0	1.75	1.75	1	0	0	2
cqrs-sample	29	9	0	1	0	0	2	2	1	0	0	9
darkseid	23	3	0	2	0	0	2	2	1	0	0	3
deliverator	24	2	0	2	0	0	2	2	1	0	0	2
eskama	6	18	0	1	0	0	1	1	1	0	2	10
fatbaldstupid	39	3	1	1.5	0	0	1	1	1	0	0	3
fortune-crunch-android-tutorial	23	3	0	2	0	0	2	2	1	0	0	3
gejun-exercicios-jedi	196	3	0	1	0	0	1	1	1	0	0	3
gphfa	157	24	0.5	1	0	0	6	6	1	0	0	23
gshoutbox	33	6	0.33	1.33	0	0	1.33	1.33	1	0	0	6
helloosgi	88	3	0.86	1	0	0	1.43	1.43	1	0	0	3
hermes-framework	199	3	0.19	1	0	0	0.25	0.25	1	0	0	2
hkkitri52jmk	82	6	0	1	0	0	1	1	1	0	0	3
hzimgserver	88	2	0.5	1.75	0	0	1.75	1.75	1	0	0	2
javacodeshare	34	5	0	1	0	0	1	1	1	0	0	5
jawaframework	4	51	0	1	0	0	0	0	1	0	0	51
jnfoviewer	22	6	0	1.5	0	0	1	1	1	0	0	3
jwatcher	81	4	1	1.33	0	0	4	4	1	0	0	4
takila	10	5	0	1	0	0	1	1	1	0	0	5
task2dolist	64	6	0	1.5	0	0	1	1	1	0	0	6
testtestjava	12	19	0	1	0	0	1	1	1	0	0	19
wyymlab	5	3	0	1	0	0	1	1	1	0	0	3
jade-stone-suite	2634	161	0.54	0.71	3.44	0.07	4.82	1.68	3	0	0	161
gwt-mapquest	1522	10	1	2.26	4.09	0.44	11.77	7.1	1	3	0	10
laboratoriosebas	2137	9	1.02	1.05	4.77	0	2.33	2.33	1	0	0	9
birpn	2471	73	1.35	3.73	5.55	0.77	14.66	3.42	2	0	0	13
javabi-dependency	339	16	0.31	0.17	6.14	0.1	1.76	1.41	1	0	2	5
alexpucara	438	25	0.23	1.46	6.46	0	5.38	5.38	1	0	1	25
colorutils	463	9	0.63	0.81	6.75	0.06	5.94	4.63	1	0	0	9
dog-food-advisor	209	3	0.8	1.5	7.1	0	1.1	1.1	1	0	0	3
barriossazo-algoritmos-estructuras-de-datos	2764	38	0.62	0.85	7.62	0.12	3.65	3.1	1	0	0	38
jfundamentals	8085	181	0.37	1.01	8.83	0.02	1.87	1.82	1	0	0	179
