Project ID	Project	Project Author Count	Project Revision Count	Project Stability Ratio	Modularised Project Stability Ratio	Project Instability Ratio	Modularised Project Instability Ratio	Project Module Count	Project LOC	CBO	DIT	LCOM	NOC	RFC	WMC	Project Duration	Project Order
666	sniper	2	41	0.547619048	0.592857143	0.452380952	0.407142857	3	100	0.7	1.4	30.6	0	2.7	2.7	20	0
392	jminesweeper	2	64	0.9375	0.875	0.0625	0.125	3	104	3.444444444	1.666666667	74.11111111	0	9.777777778	9.777777778	7	0
566	projetoestatistica	3	66	1	1	0	0	2	166	1.166666667	1.277777778	49.44444444	0	13.33333333	13.33333333	1	0
741	traffometer-opendmtp-client	13	78	0.20979021	0.247419247	0.79020979	0.752580753	4	481	4.194444444	1.222222222	68.27777778	0.027777778	14.66666667	14.66666667	10	0
742	traffometer-opendmtp-server	15	107	0.236363636	0.261818182	0.763636364	0.738181818	4	842	5.032258065	1.241935484	66.58064516	0.225806452	28.19354839	22.14516129	10	0
371	iti-ppm	2	26	0.884615385	0.884615385	0.115384615	0.115384615	1	378	2.066666667	1.133333333	49.66666667	0.066666667	7.8	7.733333333	12	0
266	gameframealfa	2	105	0.923076923	0.923076923	0.076923077	0.076923077	1	188	3.538461538	1.538461538	63.53846154	0	9.923076923	9.923076923	25	1
740	traffometer-base-lime	3	60	0.666666667	0.80141844	0.333333333	0.19858156	13	1033	4.5	1.236111111	61.52777778	0.194444444	24.73611111	19.52777778	22	1
743	traffometer-sim-grey	3	54	0.708333333	0.692525253	0.291666667	0.307474747	9	700	2.735849057	1.264150943	60.47169811	0.075471698	8.811320755	8.660377358	31	1
739	traffometer-base-grey	3	46	0.404761905	0.540178571	0.595238095	0.459821429	10	166	1.666666667	1.083333333	33.16666667	0	3.25	3.25	27	1
744	traffometer-sim-lime	3	57	0.533333333	0.65	0.466666667	0.35	11	535	2.56097561	1.268292683	58.31707317	0.073170732	9.756097561	9.609756098	24	1
541	pf-iti	2	23	0.868421053	0.868421053	0.131578947	0.131578947	1	405	1.111111111	1.388888889	53.16666667	0.222222222	9.611111111	7.5	18	1
534	pasoos	3	106	0.942307692	0.895215008	0.057692308	0.104784992	5	883	4.988095238	1.357142857	32.35714286	0	5.5	5.5	51	0
48	ascenceur	2	95	1	1	0	0	2	77	2	1.333333333	54.66666667	0	8.333333333	8.333333333	28	0
516	olin-blink	2	27	0.7	0.7	0.3	0.3	1	72	1.454545455	1.272727273	28.27272727	0.363636364	4.818181818	4.090909091	4	0
105	cero	2	7	0.051724138	0.051724138	0.948275862	0.948275862	1	459	3.567901235	1.555555556	50.95061728	0.395061728	9.851851852	7.111111111	28	0
673	srat1	2	57	0.557142857	0.557142857	0.442857143	0.442857143	1	1010	4.518072289	1.34939759	24.39759036	0.265060241	4.421686747	3.891566265	34	1
